Station,Lat,Long,Station_Code,Remarks
Admiralty,1.4439,103.7854,S104,
Admiralty (West),1.4582,103.7953,S105,
Ang Mo Kio,1.3764,103.8492,S109,
Boon Lay (East),1.3302,103.7205,,Station closed since 18 Jan 2016
Boon Lay (West),1.3275,103.7042,S63,
Botanic Garden,1.3087,103.8180,S120,
Buangkok,1.3837,103.8860,S55,
Bukit Panjang,1.3824,103.7603,S64,
Bukit Timah,1.3191,103.8191,S90,
Buona Vista,1.2841,103.7886,S92,
Chai Chee,1.3277,103.9203,S61,
Changi,1.3678,103.9826,S24,
Choa Chu Kang (Central),1.3819,103.7386,S114,
Choa Chu Kang (South),1.3729,103.7224,S121,
Choa Chu Kang (West),1.3746,103.6938,S11,
Clementi,1.3337,103.7768,S50,
Dhoby Ghaut,1.2994,103.8461,S118,
East Coast Parkway,1.3134,103.9619,S107,
Jurong (East),1.3262,103.7354,,Station closed since 26 Sep 2014
Jurong (North),1.3505,103.7134,S101,
Jurong (West),1.3455,103.6806,S44,
Jurong Island,1.2542,103.6741,S117,
Jurong Pier,1.3081,103.7100,S33,
Kampong Bahru,1.2745,103.8280,S31,
Kent Ridge,1.2923,103.7815,S71,
Khatib,1.4173,103.8249,S122,
Kranji Reservoir,1.4387,103.7363,S66,
Lim Chu Kang,1.4385,103.7013,S112,
Lower Peirce Reservoir,1.3701,103.8271,S08,
Macritchie Reservoir,1.3417,103.8338,S07,
Mandai,1.4036,103.7898,S40,
Marina Barrage,1.2799,103.8703,S108,
Marine Parade,1.3065,103.9107,S113,
Newton,1.3106,103.8365,S111,
Nicoll Highway,1.3011,103.8666,S119,
Pasir Panjang,1.2810,103.7540,S116,
Pasir Ris (Central),1.3679,103.9489,S94,
Pasir Ris (West),1.3863,103.9412,S29,
Paya Lebar,1.3524,103.9007,S06,
Pulau Ubin,1.4168,103.9673,S106,
Punggol,1.4029,103.9092,S81,
Queenstown,1.2937,103.8125,S77,
Seletar,1.4166,103.8654,S25,
Semakau Island,1.1890,103.7680,S102,
Sembawang,1.4252,103.8202,S80,
Sentosa Island,1.2500,103.8279,S60,
Serangoon,1.3382,103.8657,S36,
Serangoon North,1.3606,103.8697,S110,
Simei,1.3437,103.9444,S84,
Somerset,1.3004,103.8372,S79,
Tai Seng,1.3399,103.8878,S43,
Tanjong Katong,1.3070,103.8907,S78,
Tanjong Pagar,1.2740,103.8482,,Station closed since 12 Nov 2015
Tengah,1.3858,103.7114,S23,
Toa Payoh,1.3415,103.8519,S88,
Tuas,1.3199,103.6616,S89,
Tuas South,1.2938,103.6184,S115,
Tuas West,1.3247,103.6351,S82,
Ulu Pandan,1.3329,103.7556,S35,
Upper Peirce Reservoir,1.3700,103.8050,S69,
Upper Thomson,1.3416,103.8106,S46,
Whampoa,1.3214,103.8577,S123,
Yishun,1.4301,103.8308,S91,
